UPC,PAIS,COMPETIDOR,ESTATUS
4122487122,CR,AVENIDA 10,EXISTENTE
4139000105,CR,AVENIDA 10,EXISTENTE
4178900184,CR,AVENIDA 10,EXISTENTE
4178900191,CR,AVENIDA 10,EXISTENTE
4178900192,CR,AVENIDA 10,EXISTENTE
4178900195,CR,AVENIDA 10,EXISTENTE
4178900198,CR,AVENIDA 10,EXISTENTE
4180020750,CR,AVENIDA 10,EXISTENTE
4183837113,CR,AVENIDA 10,EXISTENTE
4460000102,CR,AVENIDA 10,EXISTENTE
4650000560,CR,AVENIDA 10,EXISTENTE
4740017924,CR,AVENIDA 10,EXISTENTE
4900005074,CR,AVENIDA 10,EXISTENTE
4900005075,CR,AVENIDA 10,EXISTENTE
4900005643,CR,AVENIDA 10,EXISTENTE
5000029048,CR,AVENIDA 10,EXISTENTE
5000029059,CR,AVENIDA 10,EXISTENTE
5000029068,CR,AVENIDA 10,EXISTENTE
5100002548,CR,AVENIDA 10,EXISTENTE
5100002549,CR,AVENIDA 10,EXISTENTE
5100002796,CR,AVENIDA 10,EXISTENTE
5100019532,CR,AVENIDA 10,EXISTENTE
6233802080,CR,AVENIDA 10,EXISTENTE
6233802674,CR,AVENIDA 10,EXISTENTE
6233802676,CR,AVENIDA 10,EXISTENTE
6233876755,CR,AVENIDA 10,EXISTENTE
6233883350,CR,AVENIDA 10,EXISTENTE
6233885619,CR,AVENIDA 10,EXISTENTE
6414400412,CR,AVENIDA 10,EXISTENTE
6723889119,CR,AVENIDA 10,EXISTENTE
7066214001,CR,AVENIDA 10,EXISTENTE
7066214002,CR,AVENIDA 10,EXISTENTE
7066214003,CR,AVENIDA 10,EXISTENTE
7084701980,CR,AVENIDA 10,EXISTENTE
7084701984,CR,AVENIDA 10,EXISTENTE
7084703396,CR,AVENIDA 10,EXISTENTE
7084789083,CR,AVENIDA 10,EXISTENTE
7615022023,CR,AVENIDA 10,EXISTENTE
7615023038,CR,AVENIDA 10,EXISTENTE
7615060133,CR,AVENIDA 10,EXISTENTE
7615060134,CR,AVENIDA 10,EXISTENTE
7874204037,CR,AVENIDA 10,EXISTENTE
8066095401,CR,AVENIDA 10,EXISTENTE
8218409046,CR,AVENIDA 10,EXISTENTE
8559212104,CR,AVENIDA 10,EXISTENTE
8600384185,CR,AVENIDA 10,EXISTENTE
8658100107,CR,AVENIDA 10,EXISTENTE
8658100112,CR,AVENIDA 10,EXISTENTE
8658100233,CR,AVENIDA 10,EXISTENTE
8658100418,CR,AVENIDA 10,EXISTENTE
8658100419,CR,AVENIDA 10,EXISTENTE
8658100508,CR,AVENIDA 10,EXISTENTE
8658100621,CR,AVENIDA 10,EXISTENTE
8658100628,CR,AVENIDA 10,EXISTENTE
8658100731,CR,AVENIDA 10,EXISTENTE
8658100784,CR,AVENIDA 10,EXISTENTE
8658101086,CR,AVENIDA 10,EXISTENTE
8658101088,CR,AVENIDA 10,EXISTENTE
8658101098,CR,AVENIDA 10,EXISTENTE
8662300258,CR,AVENIDA 10,EXISTENTE
8662300305,CR,AVENIDA 10,EXISTENTE
8816900269,CR,AVENIDA 10,EXISTENTE
8816900751,CR,AVENIDA 10,EXISTENTE
8816901376,CR,AVENIDA 10,EXISTENTE
8816940766,CR,AVENIDA 10,EXISTENTE
8816942890,CR,AVENIDA 10,EXISTENTE
8816943058,CR,AVENIDA 10,EXISTENTE
8816943098,CR,AVENIDA 10,EXISTENTE
8816943110,CR,AVENIDA 10,EXISTENTE
8831300451,CR,AVENIDA 10,EXISTENTE
8831300452,CR,AVENIDA 10,EXISTENTE
8831300530,CR,AVENIDA 10,EXISTENTE
8831300531,CR,AVENIDA 10,EXISTENTE
8831300538,CR,AVENIDA 10,EXISTENTE
8831300539,CR,AVENIDA 10,EXISTENTE
8831300627,CR,AVENIDA 10,EXISTENTE
8831300903,CR,AVENIDA 10,EXISTENTE
8831300904,CR,AVENIDA 10,EXISTENTE
8831301019,CR,AVENIDA 10,EXISTENTE
8831326144,CR,AVENIDA 10,EXISTENTE
8831359074,CR,AVENIDA 10,EXISTENTE
8831359079,CR,AVENIDA 10,EXISTENTE
8967407035,CR,AVENIDA 10,EXISTENTE
8967407040,CR,AVENIDA 10,EXISTENTE
9917600349,CR,AVENIDA 10,EXISTENTE
9917612088,CR,AVENIDA 10,EXISTENTE
9917613153,CR,AVENIDA 10,EXISTENTE
9917613160,CR,AVENIDA 10,EXISTENTE
9917613243,CR,AVENIDA 10,EXISTENTE
9917613249,CR,AVENIDA 10,EXISTENTE
9917613289,CR,AVENIDA 10,EXISTENTE
9917613311,CR,AVENIDA 10,EXISTENTE
9917613371,CR,AVENIDA 10,EXISTENTE
9917613373,CR,AVENIDA 10,EXISTENTE
9917613375,CR,AVENIDA 10,EXISTENTE
9917613381,CR,AVENIDA 10,EXISTENTE
9917623197,CR,AVENIDA 10,EXISTENTE
9917623222,CR,AVENIDA 10,EXISTENTE
9917623264,CR,AVENIDA 10,EXISTENTE
9917623314,CR,AVENIDA 10,EXISTENTE
9917626391,CR,AVENIDA 10,EXISTENTE
9917626395,CR,AVENIDA 10,EXISTENTE
9917631656,CR,AVENIDA 10,EXISTENTE
9917637065,CR,AVENIDA 10,EXISTENTE
9917648031,CR,AVENIDA 10,EXISTENTE
9917650124,CR,AVENIDA 10,EXISTENTE
9917650126,CR,AVENIDA 10,EXISTENTE
9917691859,CR,AVENIDA 10,EXISTENTE
9917692225,CR,AVENIDA 10,EXISTENTE
9917692233,CR,AVENIDA 10,EXISTENTE
9917692235,CR,AVENIDA 10,EXISTENTE
9917692239,CR,AVENIDA 10,EXISTENTE
9917692258,CR,AVENIDA 10,EXISTENTE
9917692278,CR,AVENIDA 10,EXISTENTE
9917692302,CR,AVENIDA 10,EXISTENTE
9917692303,CR,AVENIDA 10,EXISTENTE
19067900001,CR,AVENIDA 10,EXISTENTE
19067900008,CR,AVENIDA 10,EXISTENTE
19067900011,CR,AVENIDA 10,EXISTENTE
19067900018,CR,AVENIDA 10,EXISTENTE
30766073923,CR,AVENIDA 10,EXISTENTE
31981000503,CR,AVENIDA 10,EXISTENTE
63314810001,CR,AVENIDA 10,EXISTENTE
64586000092,CR,AVENIDA 10,EXISTENTE
64586000147,CR,AVENIDA 10,EXISTENTE
64586000173,CR,AVENIDA 10,EXISTENTE
64586000648,CR,AVENIDA 10,EXISTENTE
64586000964,CR,AVENIDA 10,EXISTENTE
64586001012,CR,AVENIDA 10,EXISTENTE
65024001183,CR,AVENIDA 10,EXISTENTE
65024001567,CR,AVENIDA 10,EXISTENTE
65024003516,CR,AVENIDA 10,EXISTENTE
65024003523,CR,AVENIDA 10,EXISTENTE
65024003617,CR,AVENIDA 10,EXISTENTE
65024006132,CR,AVENIDA 10,EXISTENTE
65024006206,CR,AVENIDA 10,EXISTENTE
65024006207,CR,AVENIDA 10,EXISTENTE
65024006321,CR,AVENIDA 10,EXISTENTE
65024006324,CR,AVENIDA 10,EXISTENTE
65848000110,CR,AVENIDA 10,EXISTENTE
70646000065,CR,AVENIDA 10,EXISTENTE
70646000066,CR,AVENIDA 10,EXISTENTE
70646001371,CR,AVENIDA 10,EXISTENTE
70646024166,CR,AVENIDA 10,EXISTENTE
70646024167,CR,AVENIDA 10,EXISTENTE
70646024923,CR,AVENIDA 10,EXISTENTE
70646024927,CR,AVENIDA 10,EXISTENTE
70646024928,CR,AVENIDA 10,EXISTENTE
70646024931,CR,AVENIDA 10,EXISTENTE
70646024936,CR,AVENIDA 10,EXISTENTE
70646024948,CR,AVENIDA 10,EXISTENTE
72128230039,CR,AVENIDA 10,EXISTENTE
72128240479,CR,AVENIDA 10,EXISTENTE
72128240667,CR,AVENIDA 10,EXISTENTE
72128240806,CR,AVENIDA 10,EXISTENTE
72230447778,CR,AVENIDA 10,EXISTENTE
72230447786,CR,AVENIDA 10,EXISTENTE
72230447787,CR,AVENIDA 10,EXISTENTE
73170100049,CR,AVENIDA 10,EXISTENTE
73170100104,CR,AVENIDA 10,EXISTENTE
73170100111,CR,AVENIDA 10,EXISTENTE
73170100121,CR,AVENIDA 10,EXISTENTE
73170100127,CR,AVENIDA 10,EXISTENTE
73170100128,CR,AVENIDA 10,EXISTENTE
73170100129,CR,AVENIDA 10,EXISTENTE
73170100140,CR,AVENIDA 10,EXISTENTE
73170100144,CR,AVENIDA 10,EXISTENTE
73170100146,CR,AVENIDA 10,EXISTENTE
73170100204,CR,AVENIDA 10,EXISTENTE
73170100211,CR,AVENIDA 10,EXISTENTE
73170100421,CR,AVENIDA 10,EXISTENTE
73170100440,CR,AVENIDA 10,EXISTENTE
73170100704,CR,AVENIDA 10,EXISTENTE
73170100711,CR,AVENIDA 10,EXISTENTE
73170101262,CR,AVENIDA 10,EXISTENTE
73170101275,CR,AVENIDA 10,EXISTENTE
73170101276,CR,AVENIDA 10,EXISTENTE
73170101361,CR,AVENIDA 10,EXISTENTE
73170101363,CR,AVENIDA 10,EXISTENTE
73170101370,CR,AVENIDA 10,EXISTENTE
73170101372,CR,AVENIDA 10,EXISTENTE
73170101432,CR,AVENIDA 10,EXISTENTE
73170101493,CR,AVENIDA 10,EXISTENTE
73170101494,CR,AVENIDA 10,EXISTENTE
73170101495,CR,AVENIDA 10,EXISTENTE
73170101496,CR,AVENIDA 10,EXISTENTE
73170101497,CR,AVENIDA 10,EXISTENTE
73170101498,CR,AVENIDA 10,EXISTENTE
73170101541,CR,AVENIDA 10,EXISTENTE
73170101618,CR,AVENIDA 10,EXISTENTE
73170101619,CR,AVENIDA 10,EXISTENTE
73170101620,CR,AVENIDA 10,EXISTENTE
73170101621,CR,AVENIDA 10,EXISTENTE
73170101622,CR,AVENIDA 10,EXISTENTE
73170101713,CR,AVENIDA 10,EXISTENTE
73170101722,CR,AVENIDA 10,EXISTENTE
73170101723,CR,AVENIDA 10,EXISTENTE
73170104149,CR,AVENIDA 10,EXISTENTE
73170104249,CR,AVENIDA 10,EXISTENTE
73170104549,CR,AVENIDA 10,EXISTENTE
73170112246,CR,AVENIDA 10,EXISTENTE
73170148014,CR,AVENIDA 10,EXISTENTE
73505100047,CR,AVENIDA 10,EXISTENTE
73505100048,CR,AVENIDA 10,EXISTENTE
73505100049,CR,AVENIDA 10,EXISTENTE
73505100055,CR,AVENIDA 10,EXISTENTE
73505100064,CR,AVENIDA 10,EXISTENTE
73505100157,CR,AVENIDA 10,EXISTENTE
73505100158,CR,AVENIDA 10,EXISTENTE
73505100208,CR,AVENIDA 10,EXISTENTE
73505100396,CR,AVENIDA 10,EXISTENTE
73505100710,CR,AVENIDA 10,EXISTENTE
73505100711,CR,AVENIDA 10,EXISTENTE
73505100713,CR,AVENIDA 10,EXISTENTE
73554900011,CR,AVENIDA 10,EXISTENTE
73554900013,CR,AVENIDA 10,EXISTENTE
73990700001,CR,AVENIDA 10,EXISTENTE
74587601544,CR,AVENIDA 10,EXISTENTE
74587601547,CR,AVENIDA 10,EXISTENTE
74709100520,CR,AVENIDA 10,EXISTENTE
74762700301,CR,AVENIDA 10,EXISTENTE
74762700511,CR,AVENIDA 10,EXISTENTE
74762700512,CR,AVENIDA 10,EXISTENTE
74762701016,CR,AVENIDA 10,EXISTENTE
74762710021,CR,AVENIDA 10,EXISTENTE
74762715001,CR,AVENIDA 10,EXISTENTE
74762715002,CR,AVENIDA 10,EXISTENTE
74836612354,CR,AVENIDA 10,EXISTENTE
74836612399,CR,AVENIDA 10,EXISTENTE
74836612411,CR,AVENIDA 10,EXISTENTE
74875700020,CR,AVENIDA 10,EXISTENTE
74875700901,CR,AVENIDA 10,EXISTENTE
74892800014,CR,AVENIDA 10,EXISTENTE
74892800044,CR,AVENIDA 10,EXISTENTE
74892800134,CR,AVENIDA 10,EXISTENTE
74892800184,CR,AVENIDA 10,EXISTENTE
74892800209,CR,AVENIDA 10,EXISTENTE
74892800210,CR,AVENIDA 10,EXISTENTE
74892800241,CR,AVENIDA 10,EXISTENTE
74892800564,CR,AVENIDA 10,EXISTENTE
74892800597,CR,AVENIDA 10,EXISTENTE
74892800599,CR,AVENIDA 10,EXISTENTE
74892800600,CR,AVENIDA 10,EXISTENTE
74892800821,CR,AVENIDA 10,EXISTENTE
74892800980,CR,AVENIDA 10,EXISTENTE
74892801042,CR,AVENIDA 10,EXISTENTE
74892801058,CR,AVENIDA 10,EXISTENTE
74892801060,CR,AVENIDA 10,EXISTENTE
74892801062,CR,AVENIDA 10,EXISTENTE
74892801075,CR,AVENIDA 10,EXISTENTE
74892801104,CR,AVENIDA 10,EXISTENTE
74892801143,CR,AVENIDA 10,EXISTENTE
74892801156,CR,AVENIDA 10,EXISTENTE
74892801183,CR,AVENIDA 10,EXISTENTE
74892801184,CR,AVENIDA 10,EXISTENTE
74892801195,CR,AVENIDA 10,EXISTENTE
74892801284,CR,AVENIDA 10,EXISTENTE
74892801308,CR,AVENIDA 10,EXISTENTE
75089460105,CR,AVENIDA 10,EXISTENTE
75089460947,CR,AVENIDA 10,EXISTENTE
75089460949,CR,AVENIDA 10,EXISTENTE
75089461190,CR,AVENIDA 10,EXISTENTE
75089464239,CR,AVENIDA 10,EXISTENTE
75089464241,CR,AVENIDA 10,EXISTENTE
75089467124,CR,AVENIDA 10,EXISTENTE
75196311001,CR,AVENIDA 10,EXISTENTE
75196312200,CR,AVENIDA 10,EXISTENTE
75196321210,CR,AVENIDA 10,EXISTENTE
75196323000,CR,AVENIDA 10,EXISTENTE
75196331071,CR,AVENIDA 10,EXISTENTE
75196331126,CR,AVENIDA 10,EXISTENTE
75196331161,CR,AVENIDA 10,EXISTENTE
75196331447,CR,AVENIDA 10,EXISTENTE
75196331457,CR,AVENIDA 10,EXISTENTE
75308100909,CR,AVENIDA 10,EXISTENTE
75511118060,CR,AVENIDA 10,EXISTENTE
75511118275,CR,AVENIDA 10,EXISTENTE
75511168512,CR,AVENIDA 10,EXISTENTE
75511168513,CR,AVENIDA 10,EXISTENTE
75511168525,CR,AVENIDA 10,EXISTENTE
75695800035,CR,AVENIDA 10,EXISTENTE
75695800081,CR,AVENIDA 10,EXISTENTE
75695800382,CR,AVENIDA 10,EXISTENTE
75695801085,CR,AVENIDA 10,EXISTENTE
75695801095,CR,AVENIDA 10,EXISTENTE
75695808095,CR,AVENIDA 10,EXISTENTE
75695977305,CR,AVENIDA 10,EXISTENTE
75695996007,CR,AVENIDA 10,EXISTENTE
75695996041,CR,AVENIDA 10,EXISTENTE
75696900059,CR,AVENIDA 10,EXISTENTE
75752802894,CR,AVENIDA 10,EXISTENTE
75796200962,CR,AVENIDA 10,EXISTENTE
75796203812,CR,AVENIDA 10,EXISTENTE
75796204835,CR,AVENIDA 10,EXISTENTE
75796204837,CR,AVENIDA 10,EXISTENTE
75796205048,CR,AVENIDA 10,EXISTENTE
75931636152,CR,AVENIDA 10,EXISTENTE
75931687169,CR,AVENIDA 10,EXISTENTE
75931687224,CR,AVENIDA 10,EXISTENTE
75931687225,CR,AVENIDA 10,EXISTENTE
75931687226,CR,AVENIDA 10,EXISTENTE
75931687236,CR,AVENIDA 10,EXISTENTE
75931687260,CR,AVENIDA 10,EXISTENTE
75948700023,CR,AVENIDA 10,EXISTENTE
76020300006,CR,AVENIDA 10,EXISTENTE
76020300575,CR,AVENIDA 10,EXISTENTE
76057307987,CR,AVENIDA 10,EXISTENTE
76060855031,CR,AVENIDA 10,EXISTENTE
76228800001,CR,AVENIDA 10,EXISTENTE
76228800002,CR,AVENIDA 10,EXISTENTE
76228800095,CR,AVENIDA 10,EXISTENTE
76400900066,CR,AVENIDA 10,EXISTENTE
76400900198,CR,AVENIDA 10,EXISTENTE
76400900211,CR,AVENIDA 10,EXISTENTE
76400900212,CR,AVENIDA 10,EXISTENTE
76400900232,CR,AVENIDA 10,EXISTENTE
76400900243,CR,AVENIDA 10,EXISTENTE
76400900244,CR,AVENIDA 10,EXISTENTE
76400900386,CR,AVENIDA 10,EXISTENTE
76400900457,CR,AVENIDA 10,EXISTENTE
76400900459,CR,AVENIDA 10,EXISTENTE
76400900800,CR,AVENIDA 10,EXISTENTE
76400900839,CR,AVENIDA 10,EXISTENTE
76400900840,CR,AVENIDA 10,EXISTENTE
76400900979,CR,AVENIDA 10,EXISTENTE
76400900994,CR,AVENIDA 10,EXISTENTE
76400900995,CR,AVENIDA 10,EXISTENTE
76400900997,CR,AVENIDA 10,EXISTENTE
76400900999,CR,AVENIDA 10,EXISTENTE
76400901031,CR,AVENIDA 10,EXISTENTE
76400901091,CR,AVENIDA 10,EXISTENTE
76400901307,CR,AVENIDA 10,EXISTENTE
76400901311,CR,AVENIDA 10,EXISTENTE
76400901441,CR,AVENIDA 10,EXISTENTE
76400901476,CR,AVENIDA 10,EXISTENTE
76400901597,CR,AVENIDA 10,EXISTENTE
76400901750,CR,AVENIDA 10,EXISTENTE
76400901806,CR,AVENIDA 10,EXISTENTE
76400902035,CR,AVENIDA 10,EXISTENTE
76400902046,CR,AVENIDA 10,EXISTENTE
76400902260,CR,AVENIDA 10,EXISTENTE
76400902441,CR,AVENIDA 10,EXISTENTE
76400902682,CR,AVENIDA 10,EXISTENTE
76400902683,CR,AVENIDA 10,EXISTENTE
76400902729,CR,AVENIDA 10,EXISTENTE
76400902730,CR,AVENIDA 10,EXISTENTE
76400902731,CR,AVENIDA 10,EXISTENTE
76400902732,CR,AVENIDA 10,EXISTENTE
76400903202,CR,AVENIDA 10,EXISTENTE
76400903203,CR,AVENIDA 10,EXISTENTE
76400903205,CR,AVENIDA 10,EXISTENTE
76400903868,CR,AVENIDA 10,EXISTENTE
76400903943,CR,AVENIDA 10,EXISTENTE
76400903945,CR,AVENIDA 10,EXISTENTE
76400904009,CR,AVENIDA 10,EXISTENTE
76400904010,CR,AVENIDA 10,EXISTENTE
76400904021,CR,AVENIDA 10,EXISTENTE
76400904022,CR,AVENIDA 10,EXISTENTE
76400904023,CR,AVENIDA 10,EXISTENTE
76400904025,CR,AVENIDA 10,EXISTENTE
76400904026,CR,AVENIDA 10,EXISTENTE
76400904033,CR,AVENIDA 10,EXISTENTE
76400904035,CR,AVENIDA 10,EXISTENTE
76400904053,CR,AVENIDA 10,EXISTENTE
76400904054,CR,AVENIDA 10,EXISTENTE
76400904139,CR,AVENIDA 10,EXISTENTE
76400904140,CR,AVENIDA 10,EXISTENTE
76400904141,CR,AVENIDA 10,EXISTENTE
76400904142,CR,AVENIDA 10,EXISTENTE
76400904143,CR,AVENIDA 10,EXISTENTE
76400904153,CR,AVENIDA 10,EXISTENTE
76400904160,CR,AVENIDA 10,EXISTENTE
76400904161,CR,AVENIDA 10,EXISTENTE
76400904162,CR,AVENIDA 10,EXISTENTE
76400904163,CR,AVENIDA 10,EXISTENTE
76400904273,CR,AVENIDA 10,EXISTENTE
76400904301,CR,AVENIDA 10,EXISTENTE
76400904393,CR,AVENIDA 10,EXISTENTE
76400904491,CR,AVENIDA 10,EXISTENTE
76400904492,CR,AVENIDA 10,EXISTENTE
76400904557,CR,AVENIDA 10,EXISTENTE
76400904590,CR,AVENIDA 10,EXISTENTE
76400904765,CR,AVENIDA 10,EXISTENTE
76400904783,CR,AVENIDA 10,EXISTENTE
76400904784,CR,AVENIDA 10,EXISTENTE
76400904795,CR,AVENIDA 10,EXISTENTE
76400904858,CR,AVENIDA 10,EXISTENTE
76400905061,CR,AVENIDA 10,EXISTENTE
76400905062,CR,AVENIDA 10,EXISTENTE
76400905185,CR,AVENIDA 10,EXISTENTE
76400905186,CR,AVENIDA 10,EXISTENTE
76400905302,CR,AVENIDA 10,EXISTENTE
76400905313,CR,AVENIDA 10,EXISTENTE
76400905314,CR,AVENIDA 10,EXISTENTE
76400905315,CR,AVENIDA 10,EXISTENTE
76400905344,CR,AVENIDA 10,EXISTENTE
76400905515,CR,AVENIDA 10,EXISTENTE
76400905517,CR,AVENIDA 10,EXISTENTE
76400905536,CR,AVENIDA 10,EXISTENTE
76400905585,CR,AVENIDA 10,EXISTENTE
76400905586,CR,AVENIDA 10,EXISTENTE
76400908031,CR,AVENIDA 10,EXISTENTE
76400920341,CR,AVENIDA 10,EXISTENTE
76400920401,CR,AVENIDA 10,EXISTENTE
76400980031,CR,AVENIDA 10,EXISTENTE
76886300061,CR,AVENIDA 10,EXISTENTE
76896500001,CR,AVENIDA 10,EXISTENTE
76896500002,CR,AVENIDA 10,EXISTENTE
76896500032,CR,AVENIDA 10,EXISTENTE
76896503343,CR,AVENIDA 10,EXISTENTE
78197400061,CR,AVENIDA 10,EXISTENTE
79650000025,CR,AVENIDA 10,EXISTENTE
79650000026,CR,AVENIDA 10,EXISTENTE
79650000038,CR,AVENIDA 10,EXISTENTE
79650000039,CR,AVENIDA 10,EXISTENTE
79650000059,CR,AVENIDA 10,EXISTENTE
79650000139,CR,AVENIDA 10,EXISTENTE
79650000141,CR,AVENIDA 10,EXISTENTE
